Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Ave,Upper,Lower
DHFL,EQ,612.45,614.7,619.95,608.6,610.75,610.5,613.27,3081522,1889805991.5,21115,832445,27.01,-0.3183933382317039,Slight or No change,612.275,630.992,593.558
DHFL,EQ,610.5,613.35,623.65,612.0,616.1,616.0,617.99,2203006,1361431819.2,24881,885564,40.2,0.9009009009008916,Slight positive,612.307,631.05,593.564
DHFL,EQ,616.0,619.0,620.75,609.0,612.7,611.35,613.71,1795541,1101945719.5,15099,746257,41.56,-0.7548701298701221,Slight negative,612.393,631.104,593.682
DHFL,EQ,611.35,609.5,624.85,607.3,621.5,622.25,618.82,3381330,2092436063.35,40936,1101776,32.58,1.7829393964177598,Positive,612.9,632.305,593.495
DHFL,EQ,622.25,629.9,665.5,625.2,657.25,658.2,644.8,10109229,6518407559.15,109246,1610285,15.93,5.777420650863818,Among top gainers,616.154,647.175,585.132
DHFL,EQ,658.2,656.8,663.7,644.0,649.35,648.35,653.25,3017390,1971120921.0,31590,637258,21.12,-1.4965056213916752,Negative,617.954,653.341,582.566
DHFL,EQ,648.35,652.4,673.6,649.5,670.3,670.35,665.35,4385256,2917708656.35,51860,793509,18.09,3.3932289658363586,Among top gainers,621.864,666.914,576.815
DHFL,EQ,670.35,674.85,684.9,668.35,673.0,671.95,677.34,5144479,3484559195.15,50864,956407,18.59,0.2386812858954368,Slight or No change,625.943,678.044,573.842
DHFL,EQ,671.95,676.8,681.75,659.05,667.25,665.85,667.72,5754601,3842452708.55,34569,2138478,37.16,-0.9078056403006184,Slight negative,630.611,684.569,576.652
DHFL,EQ,665.85,668.0,668.0,651.15,658.5,659.4,657.56,2423862,1593823133.1,19848,787191,32.48,-0.9686866411353968,Slight negative,635.504,686.279,584.728
DHFL,EQ,659.4,655.05,666.6,652.1,656.5,658.0,658.95,1999178,1317356255.15,19631,678897,33.96,-0.2123142250530785,Slight or No change,639.479,687.724,591.233
DHFL,EQ,658.0,658.0,663.55,654.5,655.3,656.65,659.06,1725486,1137196933.65,13616,655431,37.99,-0.20516717325228528,Slight or No change,641.689,690.051,593.327
DHFL,EQ,656.65,656.7,674.5,653.0,665.55,666.8,666.15,2664161,1774721907.45,34531,459416,17.24,1.5457245107743711,Positive,644.864,693.592,596.136
DHFL,EQ,666.8,668.0,672.65,662.4,667.0,666.45,667.05,2925940,1951758181.45,17929,930153,31.79,-0.052489502099561935,Slight or No change,648.721,694.878,602.565
DHFL,EQ,666.45,668.0,674.2,657.4,663.4,665.35,665.48,4235763,2818817793.8,25339,1143637,27.0,-0.16505364243379894,Slight or No change,652.639,693.869,611.41
DHFL,EQ,665.35,664.0,676.9,662.0,666.65,667.65,668.77,4049806,2708389294.9,29591,1877740,46.37,0.3456827233786708,Slight or No change,656.329,692.349,620.308
DHFL,EQ,667.65,669.75,691.5,660.3,678.1,679.25,677.86,6716170,4552652665.05,50011,1433381,21.34,1.7374372800119886,Positive,661.179,688.296,634.061
DHFL,EQ,679.25,681.0,682.0,647.0,651.0,651.75,660.73,3459672,2285916953.85,36159,820439,23.71,-4.0485829959514215,Among top losers,663.286,679.937,646.634
DHFL,EQ,651.75,647.0,652.35,639.55,649.9,646.5,645.1,3815603,2461431385.35,27274,749409,19.64,-0.8055235903337121,Slight negative,662.45,681.239,643.661
DHFL,EQ,646.5,652.0,654.0,640.0,646.8,648.6,645.75,3095095,1998647897.75,38262,1095886,35.41,0.3248259860788805,Slight or No change,662.468,681.199,643.737
DHFL,EQ,648.6,647.9,657.7,643.1,648.95,647.75,649.25,1812045,1176468836.65,17042,456871,25.21,-0.13105149552883333,Slight or No change,660.854,680.53,641.177
DHFL,EQ,647.75,646.9,651.75,628.1,631.95,632.3,632.76,4646372,2940051530.5,23697,2131449,45.87,-2.3851794673871107,Negative,658.021,681.804,634.239
DHFL,EQ,632.3,633.95,633.95,610.0,610.2,611.7,620.37,4093167,2539290264.15,27513,1555598,38.0,-3.257947176972942,Among top losers,654.154,687.954,620.353
DHFL,EQ,611.7,610.95,618.0,607.05,610.25,610.15,611.63,7340775,4489839214.35,62687,1899583,25.88,-0.2533921857119648,Slight or No change,650.636,691.581,609.691
DHFL,EQ,610.15,615.0,624.5,613.0,614.55,614.2,617.47,5318535,3284023122.55,50983,2092548,39.34,0.6637712038023658,Slight positive,647.507,692.52,602.494
DHFL,EQ,614.2,612.0,616.9,607.45,610.2,610.2,611.08,4951135,3025533268.4,40864,1394620,28.17,-0.651253663301854,Slight negative,644.189,692.987,595.391
DHFL,EQ,610.2,611.0,619.4,608.35,610.3,610.55,612.12,4788983,2931452586.65,23871,792003,16.54,0.05735824319894611,Slight or No change,640.171,690.197,590.146
DHFL,EQ,610.55,612.4,615.95,610.0,610.0,610.55,610.66,5463048,3336079943.45,24840,1968294,36.03,0.0,Slight or No change,636.179,686.093,586.265
DHFL,EQ,610.55,615.15,615.15,274.75,337.0,350.55,380.61,115298628,43884228305.85,1434604,21096233,18.3,-42.584554909507816,Bear drop,613.693,772.294,455.092
DHFL,EQ,350.55,385.6,438.15,371.65,392.15,393.9,401.51,79286487,31834680999.7,929996,12820256,16.17,12.366281557552414,Bull run,594.139,787.726,400.553
DHFL,EQ,393.9,395.0,396.45,256.05,305.5,299.45,312.11,129310441,40358749644.55,1701742,19624924,15.18,-23.97816704747397,Bear drop,567.011,809.492,324.53
DHFL,EQ,299.45,311.0,320.0,277.0,303.4,305.45,303.78,69609470,21145712315.3,875226,10792485,15.5,2.003673401235595,Positive,542.275,816.141,268.409
DHFL,EQ,305.45,308.0,314.7,280.0,293.5,290.2,297.36,41546114,12354208291.2,413700,9266291,22.3,-4.992633818955638,Among top losers,516.825,814.182,219.468
DHFL,EQ,290.2,296.05,301.75,252.65,276.0,274.95,276.29,34815340,9618971531.4,468743,4903941,14.09,-5.254996554100622,Among top losers,490.136,803.203,177.069
DHFL,EQ,274.95,275.0,324.0,265.0,321.15,318.5,296.47,36573239,10842782415.55,389215,4794506,13.11,15.83924349881798,Bull run,466.618,778.144,155.091
DHFL,EQ,318.5,317.9,333.7,304.05,315.8,317.65,322.34,29658538,9560205521.1,339476,4533655,15.29,-0.2668759811617072,Slight or No change,444.143,749.519,138.767
DHFL,EQ,317.65,305.0,313.9,291.0,295.25,297.3,302.02,20356991,6148188192.15,221049,3220824,15.82,-6.406422162757742,Among top losers,421.686,720.146,123.226
DHFL,EQ,297.3,292.0,305.8,265.0,268.25,275.15,290.07,15228207,4417277156.2,167664,3612397,23.72,-7.450386814665332,Bear drop,397.757,684.619,110.895
DHFL,EQ,275.15,274.0,274.0,206.4,219.05,223.1,238.45,54962924,13105898733.7,636018,8219753,14.96,-18.91695438851535,Bear drop,369.821,641.667,97.976
DHFL,EQ,223.1,214.6,257.45,193.4,246.0,245.05,228.56,55650755,12719459625.4,682659,5613559,10.09,9.838637382339764,Bull run,343.739,584.531,102.948
DHFL,EQ,245.05,256.0,292.7,250.0,286.3,284.5,277.52,51547574,14305714317.3,593960,6915330,13.42,16.098755356049786,Bull run,320.45,507.051,133.849
DHFL,EQ,284.5,256.05,299.9,242.0,289.95,289.65,280.75,48305144,13561657306.8,528446,6627982,13.72,1.8101933216168709,Positive,297.529,380.918,214.14
DHFL,EQ,289.65,302.05,312.0,290.0,290.05,292.25,299.83,19863839,5955821671.0,246541,2261724,11.39,0.8976350768168606,Slight positive,293.364,370.97,215.759
DHFL,EQ,292.25,292.0,295.3,270.1,281.9,281.6,279.26,22857830,6383246593.1,280923,1892017,8.28,-3.644140290846865,Among top losers,285.343,337.093,233.593
DHFL,EQ,281.6,285.0,289.8,266.45,267.3,268.8,276.64,23048046,6375976824.75,266926,4764140,20.67,-4.545454545454551,Among top losers,283.154,334.926,231.381
DHFL,EQ,268.8,272.0,274.3,234.2,235.6,235.9,245.72,41149209,10111175429.3,444380,6407667,15.57,-12.239583333333336,Bear drop,278.186,333.936,222.435
DHFL,EQ,235.9,228.0,243.75,205.0,210.1,210.55,216.75,53396086,11573833453.05,568303,9499736,17.79,-10.746078846969054,Bear drop,272.496,338.313,206.68
DHFL,EQ,210.55,200.0,216.2,185.6,187.0,188.4,198.38,52073420,10330363195.25,553243,9633496,18.5,-10.520066492519595,Bear drop,266.314,345.947,186.681
DHFL,EQ,188.4,182.9,207.0,178.65,194.85,192.9,193.19,50834137,9820528336.05,481709,4147550,8.16,2.388535031847128,Positive,257.343,339.897,174.789
DHFL,EQ,192.9,199.0,204.95,185.05,190.0,190.3,193.07,34710424,6701676091.5,318635,2354615,6.78,-1.3478486262312073,Negative,248.246,330.238,166.255
DHFL,EQ,190.3,185.0,188.0,176.1,184.35,183.85,181.7,27268536,4954689268.5,265647,3059598,11.22,-3.3893851812927034,Among top losers,240.143,323.661,156.624
DHFL,EQ,183.85,180.0,195.3,177.0,184.15,184.1,186.6,28089176,5241324630.75,258364,3720813,13.25,0.13598041881968115,Slight or No change,233.639,319.56,147.718
DHFL,EQ,184.1,187.0,189.4,180.3,184.3,185.2,184.89,19037602,3519840025.2,175876,3166165,16.63,0.5975013579576194,Slight positive,230.932,320.591,141.274
DHFL,EQ,185.2,185.1,219.7,185.1,208.5,207.1,204.43,49394410,10097745294.3,456805,6305268,12.77,11.825053995680346,Bull run,228.221,318.335,138.108
DHFL,EQ,207.1,213.4,227.8,211.4,224.8,225.1,220.37,38964819,8586566925.4,361508,4079710,10.47,8.69145340415258,Bull run,223.979,308.07,139.887
DHFL,EQ,225.1,229.4,241.8,227.05,230.5,231.55,234.34,25104360,5882875965.15,227479,2804289,11.17,2.8653931585961967,Positive,219.829,295.246,144.411
DHFL,EQ,231.55,235.0,240.0,226.5,231.35,231.4,233.41,24138633,5634240205.15,225165,3571412,14.8,-0.06478082487584302,Slight or No change,215.482,278.994,151.97
DHFL,EQ,231.4,232.0,237.0,203.1,219.5,220.35,219.85,33151077,7288409417.7,298819,2750498,8.3,-4.77528089887641,Among top losers,211.107,262.23,159.984
